"trap.station","type.of.hits","hit_type_plant","Species","Sp_Pin_Hits","Treatment","Block","Date"
"4D","1st","","pseudognaphalium",NA,"C","C","20070525"
"4D","1st","","psilotrichum.schimperi",NA,"C","C","20070525"
"4D","1st","","rhinacanthus.ndor.",NA,"C","C","20070525"
"4D","1st","","rhynchosia",NA,"C","C","20070525"
"4D","1st","","schkuhria.pinnata",NA,"C","C","20070525"
"4D","1st","","sida",NA,"C","C","20070525"
"4D","1st","","solanum.inc...big.",NA,"C","C","20070525"
"4D","1st","","solanum.ind...small.",NA,"C","C","20070525"
"4D","1st","","v",NA,"C","C","20070525"
"4D","1st","","w",NA,"C","C","20070525"
"4D","1st","","x_4",NA,"C","C","20070525"
"4D","1st","","x_5",NA,"C","C","20070525"
"4B","1st","","bracharia.lacnantha",5,"C","C","20070525"
"4B","1st","","lintonia.nutans",NA,"C","C","20070525"
"4B","1st","","pennisetum.mez.",NA,"C","C","20070525"
"4B","1st","","pennisetum.stram.",1,"C","C","20070525"
"4B","1st","","themeda.triandra",NA,"C","C","20070525"
"4B","1st","","bare",5,"C","C","20070525"
"4B","1st","","x_2",NA,"C","C","20070525"
"4B","1st","","aristida.kenyensis",NA,"C","C","20070525"
"4B","1st","","bothriochloa",NA,"C","C","20070525"
"4B","1st","","bracharia.3",NA,"C","C","20070525"
"4B","1st","","bracharia.eruciformis",NA,"C","C","20070525"
"4B","1st","","cynodon.dactylon",NA,"C","C","20070525"
"4B","1st","","cynodon.plecto.",NA,"C","C","20070525"
"4B","1st","","cyperus..mariscus.",NA,"C","C","20070525"
"4B","1st","","digitaria.2",NA,"C","C","20070525"
"4B","1st","","digitaria.milanjiana",NA,"C","C","20070525"
"4B","1st","","dinebra.retroflexa",NA,"C","C","20070525"
"4B","1st","","eragrostis",NA,"C","C","20070525"
"4B","1st","","setaria.acro...small.",NA,"C","C","20070525"
"4B","1st","","setaria.sphaec...big.",NA,"C","C","20070525"
"4B","1st","","microchloa.kunthii",NA,"C","C","20070525"
"4B","1st","","sporobolus",NA,"C","C","20070525"
"4B","1st","","tragus.berteronianus",NA,"C","C","20070525"
"4B","1st","","x_3",NA,"C","C","20070525"
"4B","1st","","acalypha.crenata",NA,"C","C","20070525"
"4B","1st","","aerva.lanata",NA,"C","C","20070525"
"4B","1st","","amaranthus.hibridus",NA,"C","C","20070525"
"4B","1st","","aspilia.pluriseta",NA,"C","C","20070525"
"4B","1st","","caralluma",NA,"C","C","20070525"
"4B","1st","","chenopodium.schrad.",NA,"C","C","20070525"
"4B","1st","","corchorus",NA,"C","C","20070525"
"4B","1st","","commelina",NA,"C","C","20070525"
"4B","1st","","commicarpus.pedunc.",NA,"C","C","20070525"
"4B","1st","","conyza",NA,"C","C","20070525"
"4B","1st","","cyathula",NA,"C","C","20070525"
"4B","1st","","dyscoriste.radicans",NA,"C","C","20070525"
"4B","1st","","euphorbia.inaequ.",NA,"C","C","20070525"
"4B","1st","","evolvulus.alsinoides",NA,"C","C","20070525"
"4B","1st","","gutenbergia",NA,"C","C","20070525"
"4B","1st","","hibiscus.flavifolius",NA,"C","C","20070525"
"4B","1st","","hibiscus.trionum",NA,"C","C","20070525"
"4B","1st","","indigofera.brevicalyx",NA,"C","C","20070525"
"4B","1st","","indigofera.schimperi",NA,"C","C","20070525"
"4B","1st","","ipomea.sinensis",NA,"C","C","20070525"
"4B","1st","","k",NA,"C","C","20070525"
"4B","1st","","kyllinger",NA,"C","C","20070525"
"4B","1st","","leucus",NA,"C","C","20070525"
"4B","1st","","lily",NA,"C","C","20070525"
"4B","1st","","melhania.",NA,"C","C","20070525"
"4B","1st","","misopates.orontium",NA,"C","C","20070525"
"4B","1st","","monechima.debile",NA,"C","C","20070525"
"4B","1st","","monsonia.augustifolia",NA,"C","C","20070525"
"4B","1st","","mullugo.nudicaulis",NA,"C","C","20070525"
"4B","1st","","osteospermum",NA,"C","C","20070525"
"4B","1st","","oxygonum.sinuatum",NA,"C","C","20070525"
"4B","1st","","pavonia.patens",NA,"C","C","20070525"
"4B","1st","","pelargonium",NA,"C","C","20070525"
"4B","1st","","phyllanthus.mader.",NA,"C","C","20070525"
"4B","1st","","plectranthus",NA,"C","C","20070525"
"4B","1st","","pollichia.campestris",NA,"C","C","20070525"
"4B","1st","","polygala..l.",NA,"C","C","20070525"
"4B","1st","","polygala.sphenoptera",NA,"C","C","20070525"
"4B","1st","","portulaca.oleracea",NA,"C","C","20070525"
"4B","1st","","portulaca.quadrifida",NA,"C","C","20070525"
"4B","1st","","pseudognaphalium",NA,"C","C","20070525"
"4B","1st","","psilotrichum.schimperi",NA,"C","C","20070525"
"4B","1st","","rhinacanthus.ndor.",NA,"C","C","20070525"
"4B","1st","","rhynchosia",NA,"C","C","20070525"
"4B","1st","","schkuhria.pinnata",NA,"C","C","20070525"
"4B","1st","","sida",NA,"C","C","20070525"
"4B","1st","","solanum.inc...big.",NA,"C","C","20070525"
"4B","1st","","solanum.ind...small.",NA,"C","C","20070525"
"4B","1st","","v",NA,"C","C","20070525"
"4B","1st","","w",NA,"C","C","20070525"
"4B","1st","","x_4",NA,"C","C","20070525"
"4B","1st","","x_5",NA,"C","C","20070525"
"5A","1st","","bracharia.lacnantha",NA,"C","C","20070525"
"5A","1st","","lintonia.nutans",NA,"C","C","20070525"
"5A","1st","","pennisetum.mez.",NA,"C","C","20070525"
"5A","1st","","pennisetum.stram.",NA,"C","C","20070525"
"5A","1st","","themeda.triandra",NA,"C","C","20070525"
"5A","1st","","bare",NA,"C","C","20070525"
"5A","1st","","x_2",NA,"C","C","20070525"
"5A","1st","","aristida.kenyensis",NA,"C","C","20070525"
"5A","1st","","bothriochloa",NA,"C","C","20070525"
"5A","1st","","bracharia.3",NA,"C","C","20070525"
"5A","1st","","bracharia.eruciformis",NA,"C","C","20070525"
"5A","1st","","cynodon.dactylon",NA,"C","C","20070525"
"5A","1st","","cynodon.plecto.",NA,"C","C","20070525"
"5A","1st","","cyperus..mariscus.",NA,"C","C","20070525"
"5A","1st","","digitaria.2",NA,"C","C","20070525"
"5A","1st","","digitaria.milanjiana",NA,"C","C","20070525"
"5A","1st","","dinebra.retroflexa",NA,"C","C","20070525"
"5A","1st","","eragrostis",NA,"C","C","20070525"
"5A","1st","","setaria.acro...small.",NA,"C","C","20070525"
"5A","1st","","setaria.sphaec...big.",NA,"C","C","20070525"
"5A","1st","","microchloa.kunthii",NA,"C","C","20070525"
"5A","1st","","sporobolus",NA,"C","C","20070525"
"5A","1st","","tragus.berteronianus",NA,"C","C","20070525"
"5A","1st","","x_3",NA,"C","C","20070525"
"5A","1st","","acalypha.crenata",NA,"C","C","20070525"
"5A","1st","","aerva.lanata",NA,"C","C","20070525"
"5A","1st","","amaranthus.hibridus",NA,"C","C","20070525"
"5A","1st","","aspilia.pluriseta",NA,"C","C","20070525"
"5A","1st","","caralluma",NA,"C","C","20070525"
"5A","1st","","chenopodium.schrad.",NA,"C","C","20070525"
"5A","1st","","corchorus",NA,"C","C","20070525"
"5A","1st","","commelina",NA,"C","C","20070525"
"5A","1st","","commicarpus.pedunc.",NA,"C","C","20070525"
"5A","1st","","conyza",NA,"C","C","20070525"
"5A","1st","","cyathula",NA,"C","C","20070525"
"5A","1st","","dyscoriste.radicans",NA,"C","C","20070525"
"5A","1st","","euphorbia.inaequ.",NA,"C","C","20070525"
"5A","1st","","evolvulus.alsinoides",NA,"C","C","20070525"
"5A","1st","","gutenbergia",NA,"C","C","20070525"
"5A","1st","","hibiscus.flavifolius",NA,"C","C","20070525"
"5A","1st","","hibiscus.trionum",NA,"C","C","20070525"
"5A","1st","","indigofera.brevicalyx",NA,"C","C","20070525"
"5A","1st","","indigofera.schimperi",NA,"C","C","20070525"
"5A","1st","","ipomea.sinensis",NA,"C","C","20070525"
"5A","1st","","k",NA,"C","C","20070525"
"5A","1st","","kyllinger",NA,"C","C","20070525"
"5A","1st","","leucus",NA,"C","C","20070525"
"5A","1st","","lily",NA,"C","C","20070525"
"5A","1st","","melhania.",NA,"C","C","20070525"
"5A","1st","","misopates.orontium",NA,"C","C","20070525"
"5A","1st","","monechima.debile",NA,"C","C","20070525"
"5A","1st","","monsonia.augustifolia",NA,"C","C","20070525"
"5A","1st","","mullugo.nudicaulis",NA,"C","C","20070525"
"5A","1st","","osteospermum",NA,"C","C","20070525"
"5A","1st","","oxygonum.sinuatum",NA,"C","C","20070525"
"5A","1st","","pavonia.patens",NA,"C","C","20070525"
"5A","1st","","pelargonium",NA,"C","C","20070525"
"5A","1st","","phyllanthus.mader.",NA,"C","C","20070525"
"5A","1st","","plectranthus",NA,"C","C","20070525"
"5A","1st","","pollichia.campestris",NA,"C","C","20070525"
"5A","1st","","polygala..l.",NA,"C","C","20070525"
"5A","1st","","polygala.sphenoptera",NA,"C","C","20070525"
"5A","1st","","portulaca.oleracea",NA,"C","C","20070525"
"5A","1st","","portulaca.quadrifida",NA,"C","C","20070525"
"5A","1st","","pseudognaphalium",NA,"C","C","20070525"
"5A","1st","","psilotrichum.schimperi",NA,"C","C","20070525"
"5A","1st","","rhinacanthus.ndor.",NA,"C","C","20070525"
"5A","1st","","rhynchosia",NA,"C","C","20070525"
"5A","1st","","schkuhria.pinnata",NA,"C","C","20070525"
"5A","1st","","sida",NA,"C","C","20070525"
"5A","1st","","solanum.inc...big.",NA,"C","C","20070525"
"5A","1st","","solanum.ind...small.",NA,"C","C","20070525"
"5A","1st","","v",NA,"C","C","20070525"
"5A","1st","","w",NA,"C","C","20070525"
"5A","1st","","x_4",NA,"C","C","20070525"
"5A","1st","","x_5",NA,"C","C","20070525"
"5C","1st","","bracharia.lacnantha",NA,"C","C","20070525"
"5C","1st","","lintonia.nutans",NA,"C","C","20070525"
"5C","1st","","pennisetum.mez.",NA,"C","C","20070525"
"5C","1st","","pennisetum.stram.",NA,"C","C","20070525"
"5C","1st","","themeda.triandra",NA,"C","C","20070525"
"5C","1st","","bare",1,"C","C","20070525"
"5C","1st","","x_2",NA,"C","C","20070525"
"5C","1st","","aristida.kenyensis",NA,"C","C","20070525"
"5C","1st","","bothriochloa",NA,"C","C","20070525"
"5C","1st","","bracharia.3",NA,"C","C","20070525"
"5C","1st","","bracharia.eruciformis",NA,"C","C","20070525"
"5C","1st","","cynodon.dactylon",NA,"C","C","20070525"
"5C","1st","","cynodon.plecto.",NA,"C","C","20070525"
"5C","1st","","cyperus..mariscus.",NA,"C","C","20070525"
"5C","1st","","digitaria.2",NA,"C","C","20070525"
"5C","1st","","digitaria.milanjiana",NA,"C","C","20070525"
"5C","1st","","dinebra.retroflexa",NA,"C","C","20070525"
"5C","1st","","eragrostis",NA,"C","C","20070525"
"5C","1st","","setaria.acro...small.",NA,"C","C","20070525"
"5C","1st","","setaria.sphaec...big.",NA,"C","C","20070525"
"5C","1st","","microchloa.kunthii",NA,"C","C","20070525"
"5C","1st","","sporobolus",NA,"C","C","20070525"
"5C","1st","","tragus.berteronianus",NA,"C","C","20070525"
"5C","1st","","x_3",NA,"C","C","20070525"
"5C","1st","","acalypha.crenata",NA,"C","C","20070525"
"5C","1st","","aerva.lanata",NA,"C","C","20070525"
"5C","1st","","amaranthus.hibridus",NA,"C","C","20070525"
"5C","1st","","aspilia.pluriseta",NA,"C","C","20070525"
"5C","1st","","caralluma",NA,"C","C","20070525"
"5C","1st","","chenopodium.schrad.",NA,"C","C","20070525"
"5C","1st","","corchorus",NA,"C","C","20070525"
"5C","1st","","commelina",NA,"C","C","20070525"
"5C","1st","","commicarpus.pedunc.",NA,"C","C","20070525"
"5C","1st","","conyza",NA,"C","C","20070525"
"5C","1st","","cyathula",NA,"C","C","20070525"
"5C","1st","","dyscoriste.radicans",NA,"C","C","20070525"
"5C","1st","","euphorbia.inaequ.",NA,"C","C","20070525"
"5C","1st","","evolvulus.alsinoides",NA,"C","C","20070525"
"5C","1st","","gutenbergia",NA,"C","C","20070525"
"5C","1st","","hibiscus.flavifolius",NA,"C","C","20070525"
"5C","1st","","hibiscus.trionum",NA,"C","C","20070525"
"5C","1st","","indigofera.brevicalyx",NA,"C","C","20070525"
"5C","1st","","indigofera.schimperi",NA,"C","C","20070525"
"5C","1st","","ipomea.sinensis",NA,"C","C","20070525"
"5C","1st","","k",NA,"C","C","20070525"
"5C","1st","","kyllinger",NA,"C","C","20070525"
"5C","1st","","leucus",NA,"C","C","20070525"
"5C","1st","","lily",NA,"C","C","20070525"
"5C","1st","","melhania.",NA,"C","C","20070525"
"5C","1st","","misopates.orontium",NA,"C","C","20070525"
"5C","1st","","monechima.debile",NA,"C","C","20070525"
"5C","1st","","monsonia.augustifolia",NA,"C","C","20070525"
"5C","1st","","mullugo.nudicaulis",NA,"C","C","20070525"
"5C","1st","","osteospermum",NA,"C","C","20070525"
"5C","1st","","oxygonum.sinuatum",NA,"C","C","20070525"
"5C","1st","","pavonia.patens",NA,"C","C","20070525"
"5C","1st","","pelargonium",NA,"C","C","20070525"
"5C","1st","","phyllanthus.mader.",NA,"C","C","20070525"
"5C","1st","","plectranthus",NA,"C","C","20070525"
"5C","1st","","pollichia.campestris",NA,"C","C","20070525"
"5C","1st","","polygala..l.",NA,"C","C","20070525"
"5C","1st","","polygala.sphenoptera",NA,"C","C","20070525"
"5C","1st","","portulaca.oleracea",NA,"C","C","20070525"
"5C","1st","","portulaca.quadrifida",NA,"C","C","20070525"
"5C","1st","","pseudognaphalium",NA,"C","C","20070525"
"5C","1st","","psilotrichum.schimperi",NA,"C","C","20070525"
"5C","1st","","rhinacanthus.ndor.",NA,"C","C","20070525"
"5C","1st","","rhynchosia",NA,"C","C","20070525"
"5C","1st","","schkuhria.pinnata",NA,"C","C","20070525"
"5C","1st","","sida",NA,"C","C","20070525"
"5C","1st","","solanum.inc...big.",NA,"C","C","20070525"
"5C","1st","","solanum.ind...small.",NA,"C","C","20070525"
"5C","1st","","v",NA,"C","C","20070525"
"5C","1st","","w",NA,"C","C","20070525"
"5C","1st","","x_4",NA,"C","C","20070525"
"5C","1st","","x_5",NA,"C","C","20070525"
"5E","1st","","bracharia.lacnantha",NA,"C","C","20070525"
"5E","1st","","lintonia.nutans",NA,"C","C","20070525"
"5E","1st","","pennisetum.mez.",NA,"C","C","20070525"
"5E","1st","","pennisetum.stram.",NA,"C","C","20070525"
"5E","1st","","themeda.triandra",NA,"C","C","20070525"
"5E","1st","","bare",1,"C","C","20070525"
"5E","1st","","x_2",NA,"C","C","20070525"
"5E","1st","","aristida.kenyensis",NA,"C","C","20070525"
"5E","1st","","bothriochloa",NA,"C","C","20070525"
"5E","1st","","bracharia.3",NA,"C","C","20070525"
"5E","1st","","bracharia.eruciformis",NA,"C","C","20070525"
"5E","1st","","cynodon.dactylon",NA,"C","C","20070525"
"5E","1st","","cynodon.plecto.",NA,"C","C","20070525"
"5E","1st","","cyperus..mariscus.",NA,"C","C","20070525"
"5E","1st","","digitaria.2",NA,"C","C","20070525"
"5E","1st","","digitaria.milanjiana",NA,"C","C","20070525"
"5E","1st","","dinebra.retroflexa",NA,"C","C","20070525"
"5E","1st","","eragrostis",NA,"C","C","20070525"
"5E","1st","","setaria.acro...small.",NA,"C","C","20070525"
"5E","1st","","setaria.sphaec...big.",NA,"C","C","20070525"
"5E","1st","","microchloa.kunthii",NA,"C","C","20070525"
"5E","1st","","sporobolus",NA,"C","C","20070525"
"5E","1st","","tragus.berteronianus",NA,"C","C","20070525"
"5E","1st","","x_3",NA,"C","C","20070525"
"5E","1st","","acalypha.crenata",NA,"C","C","20070525"
"5E","1st","","aerva.lanata",NA,"C","C","20070525"
"5E","1st","","amaranthus.hibridus",NA,"C","C","20070525"
"5E","1st","","aspilia.pluriseta",NA,"C","C","20070525"
"5E","1st","","caralluma",NA,"C","C","20070525"
"5E","1st","","chenopodium.schrad.",NA,"C","C","20070525"
"5E","1st","","corchorus",NA,"C","C","20070525"
"5E","1st","","commelina",NA,"C","C","20070525"
"5E","1st","","commicarpus.pedunc.",NA,"C","C","20070525"
"5E","1st","","conyza",NA,"C","C","20070525"
"5E","1st","","cyathula",NA,"C","C","20070525"
"5E","1st","","dyscoriste.radicans",NA,"C","C","20070525"
"5E","1st","","euphorbia.inaequ.",NA,"C","C","20070525"
"5E","1st","","evolvulus.alsinoides",NA,"C","C","20070525"
"5E","1st","","gutenbergia",NA,"C","C","20070525"
"5E","1st","","hibiscus.flavifolius",NA,"C","C","20070525"
"5E","1st","","hibiscus.trionum",NA,"C","C","20070525"
"5E","1st","","indigofera.brevicalyx",NA,"C","C","20070525"
"5E","1st","","indigofera.schimperi",NA,"C","C","20070525"
"5E","1st","","ipomea.sinensis",NA,"C","C","20070525"
"5E","1st","","k",NA,"C","C","20070525"
"5E","1st","","kyllinger",NA,"C","C","20070525"
"5E","1st","","leucus",NA,"C","C","20070525"
"5E","1st","","lily",NA,"C","C","20070525"
"5E","1st","","melhania.",NA,"C","C","20070525"
"5E","1st","","misopates.orontium",NA,"C","C","20070525"
"5E","1st","","monechima.debile",NA,"C","C","20070525"
"5E","1st","","monsonia.augustifolia",NA,"C","C","20070525"
"5E","1st","","mullugo.nudicaulis",NA,"C","C","20070525"
"5E","1st","","osteospermum",NA,"C","C","20070525"
"5E","1st","","oxygonum.sinuatum",NA,"C","C","20070525"
"5E","1st","","pavonia.patens",NA,"C","C","20070525"
"5E","1st","","pelargonium",NA,"C","C","20070525"
"5E","1st","","phyllanthus.mader.",NA,"C","C","20070525"
"5E","1st","","plectranthus",NA,"C","C","20070525"
"5E","1st","","pollichia.campestris",NA,"C","C","20070525"
"5E","1st","","polygala..l.",NA,"C","C","20070525"
"5E","1st","","polygala.sphenoptera",NA,"C","C","20070525"
"5E","1st","","portulaca.oleracea",NA,"C","C","20070525"
"5E","1st","","portulaca.quadrifida",NA,"C","C","20070525"
"5E","1st","","pseudognaphalium",NA,"C","C","20070525"
"5E","1st","","psilotrichum.schimperi",NA,"C","C","20070525"
"5E","1st","","rhinacanthus.ndor.",NA,"C","C","20070525"
"5E","1st","","rhynchosia",NA,"C","C","20070525"
"5E","1st","","schkuhria.pinnata",NA,"C","C","20070525"
"5E","1st","","sida",NA,"C","C","20070525"
"5E","1st","","solanum.inc...big.",NA,"C","C","20070525"
"5E","1st","","solanum.ind...small.",NA,"C","C","20070525"
"5E","1st","","v",NA,"C","C","20070525"
"5E","1st","","w",NA,"C","C","20070525"
"5E","1st","","x_4",NA,"C","C","20070525"
"5E","1st","","x_5",NA,"C","C","20070525"
"5G","1st","","bracharia.lacnantha",NA,"C","C","20070525"
"5G","1st","","lintonia.nutans",NA,"C","C","20070525"
"5G","1st","","pennisetum.mez.",NA,"C","C","20070525"
"5G","1st","","pennisetum.stram.",NA,"C","C","20070525"
"5G","1st","","themeda.triandra",NA,"C","C","20070525"
"5G","1st","","bare",NA,"C","C","20070525"
"5G","1st","","x_2",NA,"C","C","20070525"
"5G","1st","","aristida.kenyensis",NA,"C","C","20070525"
"5G","1st","","bothriochloa",3,"C","C","20070525"
"5G","1st","","bracharia.3",NA,"C","C","20070525"
"5G","1st","","bracharia.eruciformis",NA,"C","C","20070525"
"5G","1st","","cynodon.dactylon",NA,"C","C","20070525"
"5G","1st","","cynodon.plecto.",NA,"C","C","20070525"
"5G","1st","","cyperus..mariscus.",NA,"C","C","20070525"
"5G","1st","","digitaria.2",NA,"C","C","20070525"
"5G","1st","","digitaria.milanjiana",NA,"C","C","20070525"
"5G","1st","","dinebra.retroflexa",NA,"C","C","20070525"
"5G","1st","","eragrostis",NA,"C","C","20070525"
"5G","1st","","setaria.acro...small.",NA,"C","C","20070525"
"5G","1st","","setaria.sphaec...big.",NA,"C","C","20070525"
"5G","1st","","microchloa.kunthii",NA,"C","C","20070525"
"5G","1st","","sporobolus",NA,"C","C","20070525"
"5G","1st","","tragus.berteronianus",NA,"C","C","20070525"
"5G","1st","","x_3",NA,"C","C","20070525"
"5G","1st","","acalypha.crenata",NA,"C","C","20070525"
"5G","1st","","aerva.lanata",NA,"C","C","20070525"
"5G","1st","","amaranthus.hibridus",NA,"C","C","20070525"
"5G","1st","","aspilia.pluriseta",NA,"C","C","20070525"
"5G","1st","","caralluma",NA,"C","C","20070525"
"5G","1st","","chenopodium.schrad.",NA,"C","C","20070525"
"5G","1st","","corchorus",NA,"C","C","20070525"
"5G","1st","","commelina",NA,"C","C","20070525"
"5G","1st","","commicarpus.pedunc.",NA,"C","C","20070525"
"5G","1st","","conyza",NA,"C","C","20070525"
"5G","1st","","cyathula",NA,"C","C","20070525"
"5G","1st","","dyscoriste.radicans",NA,"C","C","20070525"
"5G","1st","","euphorbia.inaequ.",NA,"C","C","20070525"
"5G","1st","","evolvulus.alsinoides",NA,"C","C","20070525"
"5G","1st","","gutenbergia",NA,"C","C","20070525"
"5G","1st","","hibiscus.flavifolius",NA,"C","C","20070525"
"5G","1st","","hibiscus.trionum",NA,"C","C","20070525"
"5G","1st","","indigofera.brevicalyx",NA,"C","C","20070525"
"5G","1st","","indigofera.schimperi",NA,"C","C","20070525"
"5G","1st","","ipomea.sinensis",NA,"C","C","20070525"
"5G","1st","","k",NA,"C","C","20070525"
"5G","1st","","kyllinger",NA,"C","C","20070525"
"5G","1st","","leucus",NA,"C","C","20070525"
"5G","1st","","lily",NA,"C","C","20070525"
"5G","1st","","melhania.",NA,"C","C","20070525"
"5G","1st","","misopates.orontium",NA,"C","C","20070525"
"5G","1st","","monechima.debile",NA,"C","C","20070525"
"5G","1st","","monsonia.augustifolia",NA,"C","C","20070525"
"5G","1st","","mullugo.nudicaulis",NA,"C","C","20070525"
"5G","1st","","osteospermum",NA,"C","C","20070525"
"5G","1st","","oxygonum.sinuatum",NA,"C","C","20070525"
"5G","1st","","pavonia.patens",NA,"C","C","20070525"
"5G","1st","","pelargonium",NA,"C","C","20070525"
"5G","1st","","phyllanthus.mader.",NA,"C","C","20070525"
"5G","1st","","plectranthus",NA,"C","C","20070525"
